"Temp", "visc", "unc%", "exp", "celsius"
# Data and used by Bich1990 and uncert from original papers
# Kestin1972
 25, 25.389, 0.1, 1, 1  
100, 31.219, 0.1, 1, 1  
200, 38.055, 0.15, 1, 1  
300, 44.280, 0.15, 1, 1  
400, 49.995, 0.15, 1, 1  
500, 55.336, 0.2, 1, 1  
600, 60.375, 0.2, 1, 1  
700, 65.195, 0.3, 1, 1  
# Vogel1984
298.15, 25.405, 0.1, 2, 0 
323.15, 27.335, 0.1, 2, 0  
373.15, 31.022, 0.2, 2, 0  
473.15, 37.839, 0.2, 2, 0  
573.15, 44.089, 0.3, 2, 0  
623.15, 47.047, 0.3, 2, 0  
# Dawe1970
 293.2, 25.07, 0.25, 3, 0 
 300, 25.65, 0.25, 3, 0 
 400, 33.13, 0.25, 3, 0 
 500, 39.70, 0.25, 3, 0 
 600, 45.66, 0.25, 3, 0 
 700, 51.17, 0.25, 3, 0 
 800, 56.34, 0.25, 3, 0 
 900, 61.24, 0.25, 3, 0 
1000, 65.91, 0.25, 3, 0 
1100, 70.39, 0.25, 3, 0 
1200, 74.70, 0.25, 3, 0 
1300, 78.87, 0.25, 3, 0 
1400, 82.91, 0.25, 3, 0 
1500, 86.83, 0.25, 3, 0 
1600, 90.65, 0.25, 3, 0 
# Gough1976
120, 10.61, 0.25, 4, 0 
140, 12.29, 0.25, 4, 0 
160, 14.01, 0.25, 4, 0 
180, 15.73, 0.25, 4, 0 
200, 17.44, 0.25, 4, 0 
220, 19.12, 0.25, 4, 0 
240, 20.78, 0.25, 4, 0 
260, 22.40, 0.25, 4, 0 
280, 23.98, 0.25, 4, 0 
300, 25.53, 0.25, 4, 0 
320, 27.05, 0.25, 4, 0 
# Goldblatt1970
1100, 71.634,   0.15, 5, 0 
1200, 76.007,   0.20, 5, 0
1300, 80.187,   0.20, 5, 0
1400, 84.343,   0.25, 5, 0
1500, 88.184,   0.25, 5, 0
1600, 92.170,   0.30, 5, 0
1700, 95.649,   0.30, 5, 0
1800, 99.539,   0.35, 5, 0
1900, 103.091, 0.35, 5, 0
2000, 106.328, 0.40, 5, 0

